0.01,[2098]
0.02,[1099]
0.03,[823]
0.04,[968]
0.05,[669]
0.06,[1830]
0.07,[1707]
0.08,[425]
0.09,[483]
0.1,[1836]
0.11,[3889]
0.12,[2883]
0.13,[2820]
0.14,[351]
0.15,[2648]
0.16,[348]
0.17,[3366]
0.18,[519]
0.19,[358]
0.2,[263]
0.21,[1485]
0.22,[1590]
0.23,[3]
0.24,[243]
0.25,[1982]
0.26,[729]
0.27,[4]
0.28,[2522]
0.29,[438]
0.3,[765]
0.31,[2]
0.32,[1210]
0.33,[341]
0.34,[2]
0.35,[1977]
0.36,[102]
0.37,[15]
0.38,[347]
0.39,[11]
0.4,[13]
0.41,[12]
0.42,[1]
0.43,[5]
0.44,[3]
0.45,[38]
0.46,[1]
0.47,[1]
0.48,[76]
0.49,[3]
